danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster,id
0.346,0.976,-4.163,0.0998,0.000617,0.0,0.271,0.401,133.817,207080,0,00qnS9VBfyaUGm59RBHKQw
0.357,0.653,-5.554,0.0654,0.0828,0.0,0.0844,0.522,176.647,259800,0,00qOE7OjRl0BpYiCiweZB2
0.568,0.57,-8.532,0.0293,0.495,0.579,0.0749,0.771,202.176,225707,1,00rSDCQSRYGy7zCEQWE1na
0.235,0.977,0.878,0.107,0.00353,0.00604,0.172,0.241,152.952,208133,0,00sydAz6PeOxYzwG1dRIPi
0.699,0.227,-17.781,0.752,0.44,0.00357,0.128,0.114,134.017,191425,3,00sZXFob8Fw8bhle4obsDP
0.765,0.422,-8.764,0.485,0.104,0.0,0.107,0.267,153.942,174545,1,00TxSiyaZAqr0xUpGEe55s
0.522,0.99,-3.64,0.073,0.000407,0.000292,0.289,0.374,120.005,225307,0,00U3KfqUWAsJV8GE2mi14b
0.581,0.466,-8.839,0.0379,0.452,0.000922,0.131,0.272,84.636,242036,2,00uaBUnmyGxBUSwG37sWHx
0.468,0.712,-7.134,0.0333,0.0312,0.0,0.103,0.345,92.027,211520,0,00UjP0qIvfGlrgGhn301BT
0.709,0.0579,-27.539,0.842,0.654,0.00241,0.135,0.383,127.151,27907,3,00upqPmEvNYlbInwKK1NU7
0.771,0.589,-6.595,0.0289,0.551,1.49e-06,0.082,0.787,123.064,210987,1,00vklFjbEz3k0VhoZcBKlf
0.616,0.419,-11.017,0.0312,0.69,0.000431,0.0953,0.322,76.048,231893,2,00vPAsfTwvicR45W2PE20o
0.658,0.664,-5.193,0.0308,0.00118,0.0178,0.0902,0.675,112.98,174547,1,00Vx3GCkGKFFFzxZprYLfL
0.651,0.101,-25.489,0.791,0.251,1.24e-06,0.329,0.253,104.179,448767,3,00WbrSSMt9sZEnAW9OtUDI
0.716,0.268,-17.026,0.876,0.606,0.0,0.377,0.626,117.436,127093,3,00wHZxy77aIHPIC1cMCbpI
0.681,0.73,-5.684,0.0266,0.369,0.000649,0.0759,0.61,107.04,192000,1,00wRLONfS2OOn3Jd8RwoIo
0.215,0.979,-3.869,0.138,0.000115,0.897,0.0784,0.14,140.19,263200,0,00xoPVUmXLCJRiJ0o3Bqvp
0.443,0.876,-4.588,0.0499,0.411,0.0,0.36,0.706,154.588,190413,0,00XrSeoUJusUuWvqd08lyF
0.407,0.0132,-30.891,0.0477,0.995,0.89,0.112,0.123,72.799,150000,4,00XW9mCxZofGawH8OIdnBV
0.753,0.922,-4.811,0.0758,0.0899,1.9e-05,0.0843,0.319,111.998,258827,1,00xztcl6r7r8G3vSkn5Hq9
0.589,0.0373,-23.551,0.428,0.874,2.18e-05,0.187,0.286,129.032,626320,3,00Y01hKQv954vq7l5M64gw
0.173,0.811,-11.903,0.0809,0.000111,0.153,0.403,0.205,120.177,195613,0,00YCRrySf0dJ6nRCKYSAkA
0.532,0.0318,-21.254,0.0502,0.99,0.932,0.131,0.033,60.081,238234,4,00ylsiP1FHq3g3TLIXFUUZ
0.658,0.0429,-17.493,0.92,0.0395,0.0476,0.104,0.282,107.102,399400,3,00ySrjM6fxOGJjYYqmyZ1r
0.744,0.557,-8.311,0.0435,0.607,0.0,0.85,0.633,117.853,163534,1,00Z6FOtfyGvXdyW2rb4Q6S
0.461,0.0118,-27.5,0.0456,0.994,0.918,0.134,0.109,77.902,183484,4,00Z7iLsR10x9y00gAZ2Nx3
0.69,0.109,-27.433,0.959,0.5,0.0,0.549,0.123,80.506,56448,3,00ZAAVt1kPzpB80hNBcWip
0.346,0.0943,-13.632,0.0362,0.929,0.918,0.102,0.109,127.006,129937,4,00ZtJgQax06A96l8sMcmlB
0.722,0.186,-23.566,0.504,0.763,0.0,0.201,0.595,85.73,92547,3,011kD0gl4o8F4iDPKzAWQC
0.5,0.743,-6.648,0.0373,0.307,2.68e-05,0.133,0.332,166.256,191827,0,012iHyRvQQquWQGUTYvDxy
0.368,0.0108,-29.17,0.0414,0.994,0.911,0.131,0.173,125.242,134364,4,01353wne9nMZmBlVdp9M1m
0.329,0.00259,-26.036,0.0417,0.986,0.954,0.0853,0.226,70.588,183660,4,013eYaVKpTVsX41dEPSFt8
0.499,0.0204,-21.838,0.0895,0.995,0.962,0.112,0.202,130.059,116836,4,013h40ZaPMhd98D3SCqrjC
0.53,0.121,-11.614,0.0481,0.699,0.934,0.101,0.433,79.999,110236,4,013vhwBqoO9GHoKhsviiyG
0.654,0.83,-4.801,0.0366,0.000629,1.13e-06,0.121,0.548,124.989,262200,1,015IsLQFXbEm0f541N2qoX
0.702,0.129,-19.009,0.922,0.898,0.0,0.0934,0.633,136.109,705320,3,016ByX3jtsSbfqydqaicSY
