danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster
0.619,0.163,-24.733,0.918,0.75,0.0,0.578,0.319,80.473,1571410,3
0.682,0.867,-3.122,0.0292,0.0241,1.32e-06,0.329,0.595,97.004,193734,1
0.54,0.775,-6.446,0.15,0.577,0.000651,0.425,0.703,175.962,278200,1
0.799,0.66,-6.153,0.079,0.256,0.0,0.111,0.471,140.04,195429,1
0.535,0.424,-7.491,0.0314,0.626,0.0,0.191,0.539,97.506,127733,2
0.524,0.322,-9.595,0.0275,0.123,0.0248,0.0941,0.167,110.195,195436,2
0.564,0.898,-3.138,0.0403,0.0493,0.598,0.552,0.0387,174.012,299031,0
0.453,0.993,-4.683,0.163,2.87e-06,0.485,0.0826,0.129,119.987,215280,0
0.269,0.895,-6.382,0.118,0.083,0.00266,0.153,0.16,168.479,299507,0
0.491,0.916,-4.945,0.0332,0.00505,0.00136,0.339,0.723,92.988,197978,1
0.142,0.968,-4.497,0.243,0.000532,0.0,0.412,0.143,180.035,202966,0
0.7,0.902,-5.945,0.253,0.0857,0.0433,0.184,0.183,125.981,316569,0
0.542,0.682,-6.285,0.0284,0.0247,0.0,0.489,0.758,79.978,181868,1
0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,1
0.889,0.507,-8.74,0.162,0.0562,0.0,0.116,0.219,111.994,154667,1
0.497,0.78,-7.752,0.0436,0.00218,0.000382,0.178,0.872,183.179,206524,1
0.583,0.978,-3.321,0.0644,0.000448,0.00207,0.138,0.417,109.971,188227,0
0.208,0.16,-17.301,0.0344,0.871,0.85,0.103,0.0391,86.039,199875,4
0.652,0.2,-27.659,0.947,0.808,0.0,0.388,0.592,90.97,317600,3
0.32,0.164,-18.956,0.0265,0.925,0.918,0.111,0.158,99.939,177688,4
0.738,0.379,-11.644,0.084,0.201,1.1e-05,0.0806,0.598,122.042,200215,1
0.533,0.168,-19.249,0.0341,0.974,0.113,0.109,0.27,150.4,259096,2
0.453,0.666,-7.661,0.0285,1.74e-05,0.0,0.0955,0.125,110.009,315969,0
0.597,0.585,-7.388,0.0294,0.551,0.000221,0.11,0.325,140.054,220725,2
0.666,0.566,-12.136,0.0309,0.467,0.0269,0.144,0.819,149.441,192168,1
0.763,0.681,-7.291,0.0338,0.237,0.000363,0.0917,0.227,120.025,183995,1
0.785,0.488,-8.124,0.239,0.475,2.13e-06,0.482,0.765,80.016,147862,1
0.773,0.66,-6.48,0.025,0.126,0.194,0.1,0.563,98.036,272200,1
0.702,0.395,-18.939,0.334,0.931,0.609,0.0955,0.831,75.955,76000,2
0.616,0.292,-16.837,0.0423,0.966,0.927,0.0955,0.0633,127.008,125500,4
0.799,0.802,-5.428,0.154,0.0571,1.06e-06,0.269,0.339,118.997,147605,1
0.462,0.283,-12.43,0.0308,0.959,0.0238,0.257,0.151,133.061,224323,2
0.635,0.847,-6.885,0.134,0.0153,0.215,0.0763,0.859,162.061,241804,1
0.633,0.743,-8.029,0.0362,0.29,0.00696,0.0629,0.548,176.021,211193,1
0.625,0.101,-20.837,0.943,0.757,0.0,0.494,0.247,77.02,178701,3
0.0,0.372,-20.422,0.0,0.0734,0.0,0.0,0.0,0.0,5107,4
0.527,0.167,-16.419,0.0598,0.851,0.847,0.114,0.0753,138.329,126712,4
0.762,0.254,-13.268,0.907,0.785,0.0,0.155,0.62,74.758,47013,3
